date,time,place,name,url,confirmed
2009-08-01,,Nasavrky,Lughnasad,http://www.lughnasad.cz/,TRUE
2009-06-27,,Lužná u Rakovníka,Keltování v Lužné,,TRUE
2009-05-30,,Praha,Mezi ploty,,TRUE
2009-03-06,,Praha,Divadlo v Celetné,,TRUE
2009-02-18,,Praha - palác Adria,Křest CD 'First of',,TRUE
2009-02-12,,Praha,Popocafépetl,,TRUE
2008-11-28,,Praha,Čajovna Alli Baba,,TRUE
2008-11-08,,Jičín,Masarykovo divadlo,,TRUE
2008-10-10,,Praha,Salmovská literární kavárna,http://www.salmovska.cz/,TRUE
2008-10-04,,Praha,Staroměstské náměstí,,TRUE
2008-08-09,,Jičín,Lughnasad,http://www.lughnasad.cz/,TRUE
2008-07-11,,Praha,Modrá vopice,,TRUE
2008-06-26,,Praha,Kavárna Meleme kávu,,TRUE
2008-05-16,,Praha,Příjemná hospůdka M.B.S.,,TRUE
2008-03-23,,Praha,Příjemná hospůdka M.B.S.,,TRUE
